testMovieClusterId, testMovieId, predictedMovieClusterId, predictedMovieId, correctness
1,14141235,1,11081144,correct
1,11081144,1,11094452,correct
1,11094452,1,92605,correct
1,92605,1,11094452,correct
2,21798180,2,4734122,correct
2,4734122,2,21798180,correct
3,2678295,3,3653768,correct
3,3653768,3,2678295,correct
4,179326,4,179351,correct
4,179351,4,179326,correct
5,7034456,5,3327237,correct
6,4270540,6,3374650,correct
7,2705562,52,3125976,incorrect
7,2677828,7,2705562,correct
9,570350,9,75266,correct
10,1091346,10,98503,correct
10,98503,10,1091346,correct
11,848218,11,5566354,correct
11,5566354,11,848218,correct
12,1789996,12,3954917,correct
12,3954917,12,1789996,correct
13,6973699,160,1267018,incorrect
13,564966,254,32368036,incorrect
14,24394835,41,6504302,incorrect
14,2482892,280,1126385,incorrect
15,2949827,15,2949735,correct
16,12823099,16,13407460,correct
17,5157752,17,5246741,correct
17,5246741,222,6592085,incorrect
18,13900943,171,9994307,incorrect
18,3427588,200,21488993,incorrect
20,164401,20,28485791,correct
21,1399043,21,1399119,correct
21,1399119,21,1399043,correct
22,28786220,22,334865,correct
23,3755662,219,189088,incorrect
23,5697483,23,3755662,correct
24,5884079,153,2991530,incorrect
24,4163253,24,5884079,correct
25,31556,25,31371,correct
25,31371,25,31556,correct
26,20716485,125,3947408,incorrect
26,14837619,79,16271350,incorrect
27,5440243,9,75266,incorrect
28,685440,28,1113205,correct
30,1591865,30,3850349,correct
30,3850349,30,1591865,correct
31,9769970,31,62117,correct
31,62117,31,9769970,correct
32,239589,219,189088,incorrect
32,9089380,87,961937,incorrect
33,4206673,142,1250208,incorrect
34,5444993,257,19457040,incorrect
34,1584998,293,3009141,incorrect
35,761788,35,2521806,correct
36,10575183,36,678080,correct
36,678080,48,5161871,incorrect
37,998111,37,1682637,correct
38,2066293,280,1126385,incorrect
39,5989305,121,905188,incorrect
39,339526,165,66322,incorrect
40,24243299,40,2212664,correct
40,2212664,40,24243299,correct
41,14882944,52,3125976,incorrect
41,6504302,14,24394835,incorrect
42,171029,42,171026,correct
43,8526754,43,4899791,correct
43,4899791,43,8526754,correct
44,8775505,44,5735156,correct
45,1056696,45,1056686,correct
45,1056686,45,1056696,correct
46,443917,29,3599765,incorrect
46,4890336,46,443917,correct
47,11901160,47,61058,correct
47,61058,47,11901160,correct
48,5161871,36,678080,incorrect
48,1915443,48,5161871,correct
49,2757780,300,19978736,incorrect
50,22358819,50,948548,correct
50,948548,50,22358819,correct
51,7794617,51,7481126,correct
51,7481126,51,7794617,correct
52,1324852,234,7148117,incorrect
52,3125976,56,3815111,incorrect
53,560449,26,20716485,incorrect
55,2275790,55,22447758,correct
56,8466575,56,3815111,correct
56,3815111,56,8466575,correct
58,3492340,241,28222345,incorrect
58,238846,131,4760936,incorrect
59,1618008,59,1952976,correct
60,538455,60,65436,correct
60,65436,62,63310,incorrect
61,1172394,61,13860081,correct
62,3759313,62,63310,correct
62,63310,60,65436,incorrect
63,14733483,63,73422,correct
63,73422,63,14733483,correct
64,4327278,293,3009141,incorrect
64,3624149,251,4877373,incorrect
65,25322634,65,10050056,correct
65,10050056,65,25322634,correct
66,13255982,66,1017650,correct
66,1017650,66,13255982,correct
68,1349086,68,394536,correct
68,394536,243,76331,incorrect
69,3133545,22,334865,incorrect
69,1975939,12,1789996,incorrect
70,7373179,13,564966,incorrect
71,74577,79,16271350,incorrect
72,2490751,243,76331,incorrect
72,144774,200,3268903,incorrect
73,32833838,21,1399043,incorrect
73,5316735,74,4970576,incorrect
74,8332992,74,19985118,correct
74,4970576,74,8266590,correct
75,5416971,75,5047902,correct
75,5047902,75,5416971,correct
76,1472852,52,1324852,incorrect
76,2639712,86,80944,incorrect
77,570743,77,77598,correct
77,103018,77,77598,correct
77,77598,77,103018,correct
79,16271350,59,1618008,incorrect
79,10092382,228,4578695,incorrect
80,17255464,80,5916229,correct
80,5916229,80,17255464,correct
81,30232900,81,20683469,correct
82,10398987,82,1896242,correct
82,3511710,112,2033359,incorrect
82,1896242,182,28255978,incorrect
83,2074089,83,919546,correct
84,17722145,84,980211,correct
84,980211,84,17722145,correct
85,19845179,140,2396904,incorrect
85,639629,85,19845179,correct
86,773089,86,80944,correct
86,80944,86,773089,correct
87,961937,87,8150596,correct
87,8150596,87,961937,correct
89,24461292,94,1059662,incorrect
89,2796566,89,24461292,correct
91,14373082,91,3598844,correct
92,5955514,14,24394835,incorrect
93,1972231,93,1342884,correct
94,3653800,94,1059662,correct
95,1344253,95,1440478,correct
96,456601,134,5735396,incorrect
96,553101,166,14667216,incorrect
97,2918858,97,1443093,correct
97,1443093,97,2918858,correct
98,24570673,98,877743,correct
98,877743,98,24570673,correct
99,2313750,106,1693867,incorrect
99,5718787,30,1591865,incorrect
100,2236324,20,28485791,incorrect
100,7533357,187,2920843,incorrect
101,13053911,101,168958,correct
101,168958,101,13053911,correct
102,27756811,102,1123132,correct
102,1123132,102,27756811,correct
104,7048192,163,7006903,incorrect
104,4329971,104,2728423,correct
105,2641298,105,585824,correct
105,585824,105,2641298,correct
106,1693867,106,175668,correct
106,175668,106,1693867,correct
107,6004920,107,4180523,correct
107,4180523,107,6004920,correct
108,1190931,269,30809,incorrect
108,12004,97,2918858,incorrect
109,883432,109,2187884,correct
111,1059688,56,3815111,incorrect
111,4051128,30,3850349,incorrect
112,1094719,150,3995423,incorrect
112,2033359,113,20179415,incorrect
113,3623103,113,20179415,correct
113,20179415,113,3623103,correct
114,1828157,114,5725629,correct
115,24640021,178,3416335,incorrect
117,956598,117,950929,correct
117,950929,117,956598,correct
118,43566,118,4956346,correct
118,4956346,118,43566,correct
119,817057,208,2425302,incorrect
119,74011,6,3374650,incorrect
120,3487956,120,1570843,correct
120,1570843,120,3487956,correct
121,8069903,121,905188,correct
122,947616,122,628843,correct
123,2010815,160,1187057,incorrect
123,4586256,123,2010815,correct
124,11993205,124,1364234,correct
124,1364234,144,16782,incorrect
125,21107874,125,6641931,correct
125,6641931,125,3947408,correct
125,3947408,125,6641931,correct
126,25212770,126,751724,correct
130,8764467,140,10025286,incorrect
130,835057,20,28485791,incorrect
131,4760936,131,4760947,correct
131,4760947,131,4760936,correct
132,4599747,276,5566878,incorrect
133,8356458,249,8208317,incorrect
134,7883438,30,1591865,incorrect
134,5735467,134,5735396,correct
137,3846858,63,14733483,incorrect
137,3870653,48,5161871,incorrect
138,1321819,138,9535065,correct
